# Card images fetched from Hall of Heroes (hallofheroeslcg.com) by scripts/fetch_card_art.py: scans MarvelCDB
# does not publish, and better copies of ones it does (larger, or free of the FFG preview watermark).
# Saved over bundles/cards/<code>.<ext> in the local file's format, scaled to at most a 1100px long edge.
# Rows fetched on 2026-09-19 or earlier were scaled to a 419px long edge.
code	pack	name	source_page	image_url	fetched
04128b	trors	The Rise of the Red Skull	https://hallofheroeslcg.com/the-rise-of-red-skull/	https://hallofheroeslcg.com/wp-content/uploads/2020/09/r4b.jpg	2026-09-26
04129b	trors	New World Hydra	https://hallofheroeslcg.com/the-rise-of-red-skull/	https://hallofheroeslcg.com/wp-content/uploads/2020/09/r5b.jpg	2026-09-26
07001b	twc	Breakout	https://hallofheroeslcg.com/wrecking-crew/	https://hallofheroeslcg.com/wp-content/uploads/2020/02/wreckingcrew1b-1.jpg	2026-09-26
11007a	toafk	Kang's Arrival	https://hallofheroeslcg.com/the-once-and-future-kang/	https://hallofheroeslcg.com/wp-content/uploads/2020/09/kang-7b-kangs-arrival.png	2026-09-26
11008a	toafk	The Master of Time	https://hallofheroeslcg.com/the-once-and-future-kang/	https://hallofheroeslcg.com/wp-content/uploads/2020/09/kang-8b-the-master-of-time.png	2026-09-26
11009a	toafk	The Chronopolis	https://hallofheroeslcg.com/the-once-and-future-kang/	https://hallofheroeslcg.com/wp-content/uploads/2020/09/kang-9b-the-chronopolis.png	2026-09-26
11010a	toafk	Inexorable Fate	https://hallofheroeslcg.com/the-once-and-future-kang/	https://hallofheroeslcg.com/wp-content/uploads/2020/09/kang-10b-inexorable-fate.png	2026-09-26
11011a	toafk	The Realm of Rama-Tut	https://hallofheroeslcg.com/the-once-and-future-kang/	https://hallofheroeslcg.com/wp-content/uploads/2020/09/kang-11b-the-realm-of-rama-tut.png	2026-09-26
11012a	toafk	The Present Future War	https://hallofheroeslcg.com/the-once-and-future-kang/	https://hallofheroeslcg.com/wp-content/uploads/2020/09/kang-12b-the-present-future-war.png	2026-09-26
11013a	toafk	Kang's Wrath	https://hallofheroeslcg.com/the-once-and-future-kang/	https://hallofheroeslcg.com/wp-content/uploads/2020/09/kang-13b-kangs-wrath.png	2026-09-26
14001b	qsv	Quicksilver	https://hallofheroeslcg.com/quicksilver/	https://hallofheroeslcg.com/wp-content/uploads/2020/12/0a.jpg	2026-09-26
21002	mts	Gamma	https://hallofheroeslcg.com/the-mad-titans-shadow/	https://hallofheroeslcg.com/wp-content/uploads/2021/08/m1.jpg	2026-09-26
21003	mts	Photon	https://hallofheroeslcg.com/the-mad-titans-shadow/	https://hallofheroeslcg.com/wp-content/uploads/2021/08/m2.jpg	2026-09-26
21004	mts	Pulsar	https://hallofheroeslcg.com/the-mad-titans-shadow/	https://hallofheroeslcg.com/wp-content/uploads/2021/08/m3.jpg	2026-09-26
21005	mts	Blue Marvel	https://hallofheroeslcg.com/the-mad-titans-shadow/	https://hallofheroeslcg.com/wp-content/uploads/2021/08/de.png	2026-09-26
21006	mts	Energy Duplication	https://hallofheroeslcg.com/the-mad-titans-shadow/	https://hallofheroeslcg.com/wp-content/uploads/2021/08/m5.jpg	2026-09-26
21007	mts	Gamma Blast	https://hallofheroeslcg.com/the-mad-titans-shadow/	https://hallofheroeslcg.com/wp-content/uploads/2021/08/m7.jpg	2026-09-26
21008	mts	Photon Speed	https://hallofheroeslcg.com/the-mad-titans-shadow/	https://hallofheroeslcg.com/wp-content/uploads/2021/08/m10.jpg	2026-09-26
21009	mts	Pulsar Shield	https://hallofheroeslcg.com/the-mad-titans-shadow/	https://hallofheroeslcg.com/wp-content/uploads/2021/08/m13.jpg	2026-09-26
21010	mts	Speed of Light	https://hallofheroeslcg.com/the-mad-titans-shadow/	https://hallofheroeslcg.com/wp-content/uploads/2021/08/m16.jpg	2026-09-26
21011	mts	Captain America	https://hallofheroeslcg.com/the-mad-titans-shadow/	https://hallofheroeslcg.com/wp-content/uploads/2021/08/a1.jpg	2026-09-26
21012	mts	Power Man	https://hallofheroeslcg.com/the-mad-titans-shadow/	https://hallofheroeslcg.com/wp-content/uploads/2021/08/a2.jpg	2026-09-26
21013	mts	White Tiger	https://hallofheroeslcg.com/the-mad-titans-shadow/	https://hallofheroeslcg.com/wp-content/uploads/2021/08/a3.jpg	2026-09-26
21014	mts	Kaluu	https://hallofheroeslcg.com/the-mad-titans-shadow/	https://hallofheroeslcg.com/wp-content/uploads/2021/08/a4.jpg	2026-09-26
21015	mts	Mighty Avengers	https://hallofheroeslcg.com/the-mad-titans-shadow/	https://hallofheroeslcg.com/wp-content/uploads/2021/08/a5.jpg	2026-09-26
21016	mts	Mass Attack	https://hallofheroeslcg.com/the-mad-titans-shadow/	https://hallofheroeslcg.com/wp-content/uploads/2021/08/a6.jpg	2026-09-26
21018	mts	Band Together	https://hallofheroeslcg.com/the-mad-titans-shadow/	https://hallofheroeslcg.com/wp-content/uploads/2021/08/a8.jpg	2026-09-26
21019	mts	Blade	https://hallofheroeslcg.com/the-mad-titans-shadow/	https://hallofheroeslcg.com/wp-content/uploads/2021/08/a9.jpg	2026-09-26
21022	mts	Ready to Rumble	https://hallofheroeslcg.com/the-mad-titans-shadow/	https://hallofheroeslcg.com/wp-content/uploads/2021/08/a12.jpg	2026-09-26
21026	mts	Loss of Control	https://hallofheroeslcg.com/the-mad-titans-shadow/	https://hallofheroeslcg.com/wp-content/uploads/2021/08/n00.jpg	2026-09-26
21027	mts	Radioactive Man	https://hallofheroeslcg.com/the-mad-titans-shadow/	https://hallofheroeslcg.com/wp-content/uploads/2021/08/n2.jpg	2026-09-26
21028	mts	Reactor Meltdown	https://hallofheroeslcg.com/the-mad-titans-shadow/	https://hallofheroeslcg.com/wp-content/uploads/2021/08/n3.jpg	2026-09-26
21029	mts	Sap Power	https://hallofheroeslcg.com/the-mad-titans-shadow/	https://hallofheroeslcg.com/wp-content/uploads/2021/08/n4.jpg	2026-09-26
21030	mts	Radioactive Blast	https://hallofheroeslcg.com/the-mad-titans-shadow/	https://hallofheroeslcg.com/wp-content/uploads/2021/08/n6.jpg	2026-09-26
21032	mts	Pip the Troll	https://hallofheroeslcg.com/the-mad-titans-shadow/	https://hallofheroeslcg.com/wp-content/uploads/2021/08/a1-1.jpg	2026-09-26
21033	mts	Soul World	https://hallofheroeslcg.com/the-mad-titans-shadow/	https://hallofheroeslcg.com/wp-content/uploads/2021/08/a2-1.jpg	2026-09-26
21034	mts	Karmic Staff	https://hallofheroeslcg.com/the-mad-titans-shadow/	https://hallofheroeslcg.com/wp-content/uploads/2021/08/a3-1.jpg	2026-09-26
21035	mts	Warlock's Cape	https://hallofheroeslcg.com/the-mad-titans-shadow/	https://hallofheroeslcg.com/wp-content/uploads/2021/08/a4-1.jpg	2026-09-26
21036	mts	Cosmic Ward	https://hallofheroeslcg.com/the-mad-titans-shadow/	https://hallofheroeslcg.com/wp-content/uploads/2021/08/a5-1.jpg	2026-09-26
21037	mts	Mystic Senses	https://hallofheroeslcg.com/the-mad-titans-shadow/	https://hallofheroeslcg.com/wp-content/uploads/2021/08/a7-1.jpg	2026-09-26
21038	mts	Karmic Blast	https://hallofheroeslcg.com/the-mad-titans-shadow/	https://hallofheroeslcg.com/wp-content/uploads/2021/08/a10-1.jpg	2026-09-26
21039	mts	Cosmic Awareness	https://hallofheroeslcg.com/the-mad-titans-shadow/	https://hallofheroeslcg.com/wp-content/uploads/2021/08/a12-1.jpg	2026-09-26
21040	mts	Quantum Magic	https://hallofheroeslcg.com/the-mad-titans-shadow/	https://hallofheroeslcg.com/wp-content/uploads/2021/08/a14-1.jpg	2026-09-26
21041	mts	Marvel Boy	https://hallofheroeslcg.com/the-mad-titans-shadow/	https://hallofheroeslcg.com/wp-content/uploads/2021/08/b1.jpg	2026-09-26
21042	mts	In-Betweener	https://hallofheroeslcg.com/the-mad-titans-shadow/	https://hallofheroeslcg.com/wp-content/uploads/2021/08/b2.jpg	2026-09-26
21043	mts	Magic Attack	https://hallofheroeslcg.com/the-mad-titans-shadow/	https://hallofheroeslcg.com/wp-content/uploads/2021/08/b3.jpg	2026-09-26
21046	mts	Audacity	https://hallofheroeslcg.com/the-mad-titans-shadow/	https://hallofheroeslcg.com/wp-content/uploads/2021/08/b6.jpg	2026-09-26
21047	mts	Quasar	https://hallofheroeslcg.com/the-mad-titans-shadow/	https://hallofheroeslcg.com/wp-content/uploads/2021/08/b7.jpg	2026-09-26
21048	mts	Living Tribunal	https://hallofheroeslcg.com/the-mad-titans-shadow/	https://hallofheroeslcg.com/wp-content/uploads/2021/08/b8.jpg	2026-09-26
21050	mts	Zone of Silence	https://hallofheroeslcg.com/the-mad-titans-shadow/	https://hallofheroeslcg.com/wp-content/uploads/2021/08/b10.jpg	2026-09-26
21052	mts	Determination	https://hallofheroeslcg.com/the-mad-titans-shadow/	https://hallofheroeslcg.com/wp-content/uploads/2021/08/b12.jpg	2026-09-26
21053	mts	Major Victory	https://hallofheroeslcg.com/the-mad-titans-shadow/	https://hallofheroeslcg.com/wp-content/uploads/2021/08/b13.jpg	2026-09-26
21054	mts	Eternity	https://hallofheroeslcg.com/the-mad-titans-shadow/	https://hallofheroeslcg.com/wp-content/uploads/2021/08/b14.jpg	2026-09-26
21055	mts	Summoning Spell	https://hallofheroeslcg.com/the-mad-titans-shadow/	https://hallofheroeslcg.com/wp-content/uploads/2021/08/b15.jpg	2026-09-26
21058	mts	Innovation	https://hallofheroeslcg.com/the-mad-titans-shadow/	https://hallofheroeslcg.com/wp-content/uploads/2021/08/b18.jpg	2026-09-26
21059	mts	Charlie-27	https://hallofheroeslcg.com/the-mad-titans-shadow/	https://hallofheroeslcg.com/wp-content/uploads/2021/08/b19.jpg	2026-09-26
21060	mts	The Gardener	https://hallofheroeslcg.com/the-mad-titans-shadow/	https://hallofheroeslcg.com/wp-content/uploads/2021/08/b20.jpg	2026-09-26
21061	mts	Shield Spell	https://hallofheroeslcg.com/the-mad-titans-shadow/	https://hallofheroeslcg.com/wp-content/uploads/2021/08/b21.jpg	2026-09-26
21064	mts	Preservation	https://hallofheroeslcg.com/the-mad-titans-shadow/	https://hallofheroeslcg.com/wp-content/uploads/2021/08/b24.jpg	2026-09-26
21065	mts	Martinex	https://hallofheroeslcg.com/the-mad-titans-shadow/	https://hallofheroeslcg.com/wp-content/uploads/2021/08/b25.jpg	2026-09-26
21066	mts	Regeneration Cycle	https://hallofheroeslcg.com/the-mad-titans-shadow/	https://hallofheroeslcg.com/wp-content/uploads/2021/08/n0.jpg	2026-09-26
21067	mts	The Magus	https://hallofheroeslcg.com/the-mad-titans-shadow/	https://hallofheroeslcg.com/wp-content/uploads/2021/08/n1-1.jpg	2026-09-26
21068	mts	Universal Church of Truth	https://hallofheroeslcg.com/the-mad-titans-shadow/	https://hallofheroeslcg.com/wp-content/uploads/2021/08/n2-1.jpg	2026-09-26
21069	mts	Zealot of Truth	https://hallofheroeslcg.com/the-mad-titans-shadow/	https://hallofheroeslcg.com/wp-content/uploads/2021/08/n3-1.jpg	2026-09-26
21070	mts	Cosmic Inquisition	https://hallofheroeslcg.com/the-mad-titans-shadow/	https://hallofheroeslcg.com/wp-content/uploads/2021/08/n5-1.jpg	2026-09-26
21071	mts	Ebony Maw	https://hallofheroeslcg.com/the-mad-titans-shadow/	https://hallofheroeslcg.com/wp-content/uploads/2021/08/e1.jpg	2026-09-26
21072	mts	Ebony Maw	https://hallofheroeslcg.com/the-mad-titans-shadow/	https://hallofheroeslcg.com/wp-content/uploads/2021/08/e2.jpg	2026-09-26
21073	mts	Ebony Maw	https://hallofheroeslcg.com/the-mad-titans-shadow/	https://hallofheroeslcg.com/wp-content/uploads/2021/08/e3.jpg	2026-09-26
21074	mts	Attack on Knowhere	https://hallofheroeslcg.com/the-mad-titans-shadow/	https://hallofheroeslcg.com/wp-content/uploads/2021/08/e4a.jpg	2026-09-26
21075	mts	The Power Stone	https://hallofheroeslcg.com/the-mad-titans-shadow/	https://hallofheroeslcg.com/wp-content/uploads/2021/08/e5a.jpg	2026-09-26
21076	mts	Fireball	https://hallofheroeslcg.com/the-mad-titans-shadow/	https://hallofheroeslcg.com/wp-content/uploads/2021/08/e6.jpg	2026-09-26
21077	mts	Manipulation	https://hallofheroeslcg.com/the-mad-titans-shadow/	https://hallofheroeslcg.com/wp-content/uploads/2021/08/e8.jpg	2026-09-26
21078	mts	Pacification	https://hallofheroeslcg.com/the-mad-titans-shadow/	https://hallofheroeslcg.com/wp-content/uploads/2021/08/e10.jpg	2026-09-26
21079	mts	Rubblestorm	https://hallofheroeslcg.com/the-mad-titans-shadow/	https://hallofheroeslcg.com/wp-content/uploads/2021/08/e12.jpg	2026-09-26
21080	mts	Agent of Thanos	https://hallofheroeslcg.com/the-mad-titans-shadow/	https://hallofheroeslcg.com/wp-content/uploads/2021/08/e14.jpg	2026-09-26
21081	mts	Channeling Trance	https://hallofheroeslcg.com/the-mad-titans-shadow/	https://hallofheroeslcg.com/wp-content/uploads/2021/08/e16.jpg	2026-09-26
21082	mts	Abjuration	https://hallofheroeslcg.com/the-mad-titans-shadow/	https://hallofheroeslcg.com/wp-content/uploads/2021/08/e19.jpg	2026-09-26
21083	mts	Restrained	https://hallofheroeslcg.com/the-mad-titans-shadow/	https://hallofheroeslcg.com/wp-content/uploads/2021/08/e20.jpg	2026-09-26
21084	mts	Reactor Overload	https://hallofheroeslcg.com/the-mad-titans-shadow/	https://hallofheroeslcg.com/wp-content/uploads/2021/08/e21.jpg	2026-09-26
21085	mts	Black Dwarf	https://hallofheroeslcg.com/the-mad-titans-shadow/	https://hallofheroeslcg.com/wp-content/uploads/2021/08/b1-1.jpg	2026-09-26
21086	mts	Supergiant	https://hallofheroeslcg.com/the-mad-titans-shadow/	https://hallofheroeslcg.com/wp-content/uploads/2021/08/b2-1.jpg	2026-09-26
21087	mts	The Black Order	https://hallofheroeslcg.com/the-mad-titans-shadow/	https://hallofheroeslcg.com/wp-content/uploads/2021/08/b3-1.jpg	2026-09-26
21088	mts	Blood to Spare	https://hallofheroeslcg.com/the-mad-titans-shadow/	https://hallofheroeslcg.com/wp-content/uploads/2021/08/b4-1.jpg	2026-09-26
21089	mts	Black Order Infantry	https://hallofheroeslcg.com/the-mad-titans-shadow/	https://hallofheroeslcg.com/wp-content/uploads/2021/08/a1-2.jpg	2026-09-26
21090	mts	Outrider	https://hallofheroeslcg.com/the-mad-titans-shadow/	https://hallofheroeslcg.com/wp-content/uploads/2021/08/a3-2.jpg	2026-09-26
21091	mts	Landing Craft	https://hallofheroeslcg.com/the-mad-titans-shadow/	https://hallofheroeslcg.com/wp-content/uploads/2021/08/a5-2.jpg	2026-09-26
21092	mts	Proxima Midnight	https://hallofheroeslcg.com/the-mad-titans-shadow/	https://hallofheroeslcg.com/wp-content/uploads/2021/08/t1.jpg	2026-09-26
21093	mts	Proxima Midnight	https://hallofheroeslcg.com/the-mad-titans-shadow/	https://hallofheroeslcg.com/wp-content/uploads/2021/08/t2.jpg	2026-09-26
21094	mts	Proxima Midnight	https://hallofheroeslcg.com/the-mad-titans-shadow/	https://hallofheroeslcg.com/wp-content/uploads/2021/08/t3.jpg	2026-09-26
21095	mts	Corvus Glaive	https://hallofheroeslcg.com/the-mad-titans-shadow/	https://hallofheroeslcg.com/wp-content/uploads/2021/08/t4.jpg	2026-09-26
21096	mts	Corvus Glaive	https://hallofheroeslcg.com/the-mad-titans-shadow/	https://hallofheroeslcg.com/wp-content/uploads/2021/08/t5.jpg	2026-09-26
21097	mts	Corvus Glaive	https://hallofheroeslcg.com/the-mad-titans-shadow/	https://hallofheroeslcg.com/wp-content/uploads/2021/08/t6.jpg	2026-09-26
21098	mts	Under Siege	https://hallofheroeslcg.com/the-mad-titans-shadow/	https://hallofheroeslcg.com/wp-content/uploads/2021/08/t7a.jpg	2026-09-26
21099	mts	The Armies of Thanos	https://hallofheroeslcg.com/the-mad-titans-shadow/	https://hallofheroeslcg.com/wp-content/uploads/2021/08/t8a.jpg	2026-09-26
21100	mts	Avengers Tower	https://hallofheroeslcg.com/the-mad-titans-shadow/	https://hallofheroeslcg.com/wp-content/uploads/2021/08/t9a.jpg	2026-09-26
21101	mts	Focused Defense	https://hallofheroeslcg.com/the-mad-titans-shadow/	https://hallofheroeslcg.com/wp-content/uploads/2021/08/t10.jpg	2026-09-26
21102	mts	Black Order Besieger	https://hallofheroeslcg.com/the-mad-titans-shadow/	https://hallofheroeslcg.com/wp-content/uploads/2021/08/t11.jpg	2026-09-26
21103	mts	Proxima's Spear	https://hallofheroeslcg.com/the-mad-titans-shadow/	https://hallofheroeslcg.com/wp-content/uploads/2021/08/t15.jpg	2026-09-26
21104	mts	Corvus's Glaive	https://hallofheroeslcg.com/the-mad-titans-shadow/	https://hallofheroeslcg.com/wp-content/uploads/2021/08/t16.jpg	2026-09-26
21105	mts	Direct Assault	https://hallofheroeslcg.com/the-mad-titans-shadow/	https://hallofheroeslcg.com/wp-content/uploads/2021/08/t17.jpg	2026-09-26
21106	mts	Proxima's Power	https://hallofheroeslcg.com/the-mad-titans-shadow/	https://hallofheroeslcg.com/wp-content/uploads/2021/08/t19.jpg	2026-09-26
21107	mts	Corvus's Cunning	https://hallofheroeslcg.com/the-mad-titans-shadow/	https://hallofheroeslcg.com/wp-content/uploads/2021/08/t21.jpg	2026-09-26
21108	mts	Bound by Blood	https://hallofheroeslcg.com/the-mad-titans-shadow/	https://hallofheroeslcg.com/wp-content/uploads/2021/08/t23.jpg	2026-09-26
21109	mts	Rain Fire	https://hallofheroeslcg.com/the-mad-titans-shadow/	https://hallofheroeslcg.com/wp-content/uploads/2021/08/t24.jpg	2026-09-26
21110	mts	City Under Attack	https://hallofheroeslcg.com/the-mad-titans-shadow/	https://hallofheroeslcg.com/wp-content/uploads/2021/08/t26.jpg	2026-09-26
21111	mts	Thanos	https://hallofheroeslcg.com/the-mad-titans-shadow/	https://hallofheroeslcg.com/wp-content/uploads/2021/08/t1-1.jpg	2026-09-26
21112	mts	Thanos	https://hallofheroeslcg.com/the-mad-titans-shadow/	https://hallofheroeslcg.com/wp-content/uploads/2021/08/t2-1.jpg	2026-09-26
21113	mts	Thanos	https://hallofheroeslcg.com/the-mad-titans-shadow/	https://hallofheroeslcg.com/wp-content/uploads/2021/08/t3-1.jpg	2026-09-26
21114	mts	The Infinity Stones	https://hallofheroeslcg.com/the-mad-titans-shadow/	https://hallofheroeslcg.com/wp-content/uploads/2021/08/t4a.jpg	2026-09-26
21115	mts	Balance the Scales	https://hallofheroeslcg.com/the-mad-titans-shadow/	https://hallofheroeslcg.com/wp-content/uploads/2021/08/t5a.jpg	2026-09-26
21116	mts	Sanctuary	https://hallofheroeslcg.com/the-mad-titans-shadow/	https://hallofheroeslcg.com/wp-content/uploads/2021/08/t6-1.jpg	2026-09-26
21117	mts	Thanos's Armor	https://hallofheroeslcg.com/the-mad-titans-shadow/	https://hallofheroeslcg.com/wp-content/uploads/2021/08/t7.jpg	2026-09-26
21118	mts	Thanos's Helmet	https://hallofheroeslcg.com/the-mad-titans-shadow/	https://hallofheroeslcg.com/wp-content/uploads/2021/08/t8.jpg	2026-09-26
21119	mts	Master of the Stones	https://hallofheroeslcg.com/the-mad-titans-shadow/	https://hallofheroeslcg.com/wp-content/uploads/2021/08/t10-1.jpg	2026-09-26
21120	mts	Avatar of Death	https://hallofheroeslcg.com/the-mad-titans-shadow/	https://hallofheroeslcg.com/wp-content/uploads/2021/08/t11-1.jpg	2026-09-26
21121	mts	Deviant Syndrome	https://hallofheroeslcg.com/the-mad-titans-shadow/	https://hallofheroeslcg.com/wp-content/uploads/2021/08/t13-1.jpg	2026-09-26
21122	mts	"I Am Inevitable"	https://hallofheroeslcg.com/the-mad-titans-shadow/	https://hallofheroeslcg.com/wp-content/uploads/2021/08/t15-1.jpg	2026-09-26
21123	mts	The Mad Titan	https://hallofheroeslcg.com/the-mad-titans-shadow/	https://hallofheroeslcg.com/wp-content/uploads/2021/08/t17-1.jpg	2026-09-26
21124	mts	The Titan's Throne	https://hallofheroeslcg.com/the-mad-titans-shadow/	https://hallofheroeslcg.com/wp-content/uploads/2021/08/t19-1.jpg	2026-09-26
21125	mts	Corvus Glaive	https://hallofheroeslcg.com/the-mad-titans-shadow/	https://hallofheroeslcg.com/wp-content/uploads/2021/08/c1.jpg	2026-09-26
21126	mts	Proxima Midnight	https://hallofheroeslcg.com/the-mad-titans-shadow/	https://hallofheroeslcg.com/wp-content/uploads/2021/08/c2-1.jpg	2026-09-26
21127	mts	Ebony Maw	https://hallofheroeslcg.com/the-mad-titans-shadow/	https://hallofheroeslcg.com/wp-content/uploads/2021/08/c3.jpg	2026-09-26
21128	mts	Tribute	https://hallofheroeslcg.com/the-mad-titans-shadow/	https://hallofheroeslcg.com/wp-content/uploads/2021/08/c4-1.jpg	2026-09-26
21129	mts	Infinity Gauntlet	https://hallofheroeslcg.com/the-mad-titans-shadow/	https://hallofheroeslcg.com/wp-content/uploads/2021/08/i1.jpg	2026-09-26
21130	mts	Mind Stone	https://hallofheroeslcg.com/the-mad-titans-shadow/	https://hallofheroeslcg.com/wp-content/uploads/2021/08/i2.jpg	2026-09-26
21131	mts	Power Stone	https://hallofheroeslcg.com/the-mad-titans-shadow/	https://hallofheroeslcg.com/wp-content/uploads/2021/08/i3.jpg	2026-09-26
21132	mts	Reality Stone	https://hallofheroeslcg.com/the-mad-titans-shadow/	https://hallofheroeslcg.com/wp-content/uploads/2021/08/i4.jpg	2026-09-26
21133	mts	Soul Stone	https://hallofheroeslcg.com/the-mad-titans-shadow/	https://hallofheroeslcg.com/wp-content/uploads/2021/08/i5.jpg	2026-09-26
21134	mts	Space Stone	https://hallofheroeslcg.com/the-mad-titans-shadow/	https://hallofheroeslcg.com/wp-content/uploads/2021/08/i6.jpg	2026-09-26
21135	mts	Time Stone	https://hallofheroeslcg.com/the-mad-titans-shadow/	https://hallofheroeslcg.com/wp-content/uploads/2021/08/i7.jpg	2026-09-26
21136a	mts	Hela	https://hallofheroeslcg.com/the-mad-titans-shadow/	https://hallofheroeslcg.com/wp-content/uploads/2021/08/h1a.jpg	2026-09-26
21137a	mts	Hela	https://hallofheroeslcg.com/the-mad-titans-shadow/	https://hallofheroeslcg.com/wp-content/uploads/2021/08/h2a.jpg	2026-09-26
21138	mts	Odin's Torment	https://hallofheroeslcg.com/the-mad-titans-shadow/	https://hallofheroeslcg.com/wp-content/uploads/2021/08/h3a.jpg	2026-09-26
21139a	mts	Odin	https://hallofheroeslcg.com/the-mad-titans-shadow/	https://hallofheroeslcg.com/wp-content/uploads/2021/08/h4a.jpg	2026-09-26
21140	mts	Gnipahellir	https://hallofheroeslcg.com/the-mad-titans-shadow/	https://hallofheroeslcg.com/wp-content/uploads/2021/08/h5.jpg	2026-09-26
21141	mts	Hall of Nastrond	https://hallofheroeslcg.com/the-mad-titans-shadow/	https://hallofheroeslcg.com/wp-content/uploads/2021/08/h7.jpg	2026-09-26
21142	mts	Gjallerbru	https://hallofheroeslcg.com/the-mad-titans-shadow/	https://hallofheroeslcg.com/wp-content/uploads/2021/08/h6.jpg	2026-09-26
21143	mts	Garm	https://hallofheroeslcg.com/the-mad-titans-shadow/	https://hallofheroeslcg.com/wp-content/uploads/2021/08/h8.jpg	2026-09-26
21144	mts	Skurge	https://hallofheroeslcg.com/the-mad-titans-shadow/	https://hallofheroeslcg.com/wp-content/uploads/2021/08/h9.jpg	2026-09-26
21145	mts	Nidhogg	https://hallofheroeslcg.com/the-mad-titans-shadow/	https://hallofheroeslcg.com/wp-content/uploads/2021/08/h10.jpg	2026-09-26
21146	mts	Nightsword	https://hallofheroeslcg.com/the-mad-titans-shadow/	https://hallofheroeslcg.com/wp-content/uploads/2021/08/h11.jpg	2026-09-26
21147	mts	Hela's Crown	https://hallofheroeslcg.com/the-mad-titans-shadow/	https://hallofheroeslcg.com/wp-content/uploads/2021/08/h12.jpg	2026-09-26
21148	mts	Hela's Cloak	https://hallofheroeslcg.com/the-mad-titans-shadow/	https://hallofheroeslcg.com/wp-content/uploads/2021/08/h13.jpg	2026-09-26
21149	mts	Hela's Domain	https://hallofheroeslcg.com/the-mad-titans-shadow/	https://hallofheroeslcg.com/wp-content/uploads/2021/08/h14.jpg	2026-09-26
21150	mts	The Queen of Hel	https://hallofheroeslcg.com/the-mad-titans-shadow/	https://hallofheroeslcg.com/wp-content/uploads/2021/08/h16.jpg	2026-09-26
21151	mts	The Wastes of Niffleheim	https://hallofheroeslcg.com/the-mad-titans-shadow/	https://hallofheroeslcg.com/wp-content/uploads/2021/08/h18.jpg	2026-09-26
21152	mts	Draugr	https://hallofheroeslcg.com/the-mad-titans-shadow/	https://hallofheroeslcg.com/wp-content/uploads/2021/08/l1-1.jpg	2026-09-26
21153	mts	Fallen Warrior	https://hallofheroeslcg.com/the-mad-titans-shadow/	https://hallofheroeslcg.com/wp-content/uploads/2021/08/l3-1.jpg	2026-09-26
21154	mts	No Place for the Living	https://hallofheroeslcg.com/the-mad-titans-shadow/	https://hallofheroeslcg.com/wp-content/uploads/2021/08/l5-1.jpg	2026-09-26
21155	mts	Legions of Hel	https://hallofheroeslcg.com/the-mad-titans-shadow/	https://hallofheroeslcg.com/wp-content/uploads/2021/08/l6.jpg	2026-09-26
